collection,title,date,description,type,spatial,subject,source,identifier,file
District Consolidation Records,Page 3 - Consolidated Districts,,Extracted table showing district consolidation data for Page 3 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_3,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_3.jpg
District Consolidation Records,Page 4 - Central Rural Schools,,Extracted table showing district consolidation data for Page 4 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_4,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_4.jpg
District Consolidation Records,Page 5 - Central Rural Schools,,Extracted table showing district consolidation data for Page 5 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_5,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_5.jpg
District Consolidation Records,Page 6 - Union Free Schools,,Extracted table showing district consolidation data for Page 6 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_6,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_6.jpg
District Consolidation Records,Page 7 - Town School Units,,Extracted table showing district consolidation data for Page 7 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_7,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_7.jpg
District Consolidation Records,Page 8 - Consolidated Districts,,Extracted table showing district consolidation data for Page 8 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_8,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_8.jpg
District Consolidation Records,Page 9 - Central Rural Schools,,Extracted table showing district consolidation data for Page 9 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_9,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_9.jpg
District Consolidation Records,Page 10 - Central Rural Schools,,Extracted table showing district consolidation data for Page 10 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_10,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_10.jpg
District Consolidation Records,Page 11 - Union Free Schools,,Extracted table showing district consolidation data for Page 11 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_11,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_11.jpg
District Consolidation Records,Page 12 - Town School Units,,Extracted table showing district consolidation data for Page 12 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_12,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_12.jpg
